"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 40-44",2722
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 45-49",4811
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 45-49",2258
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 45-49",2553
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 50-54",4180
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 50-54",2034
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 50-54",2146
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 55-59",3624
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 55-59",1796
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 55-59",1828
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 60-64",2912
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 60-64",1429
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 60-64",1484
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 65-69",2142
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 65-69",1018
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 65-69",1124
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 70-74",1555
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 70-74",689
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 70-74",866
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 75-79",948
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 75-79",373
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 75-79",575
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 80-84",482
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 80-84",170
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 80-84",312
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 85-89",155
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 85-89",47
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 85-89",108
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 90-94",27
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 90-94",7
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 90-94",21
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 95-99",2
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 95-99",0
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 95-99",1
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 100+",0
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 100+",0
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 100+",0
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 0-4",8146
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 0-4",4156
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 0-4",3990
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 5-9",7829
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 5-9",3984
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 5-9",3845
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 10-14",9248
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 10-14",4703
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 10-14",4546
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 15-19",10944
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 15-19",5525
"Japan","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 15-19",5419
"Japan","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 20-24",8993
"Japan","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 20-24",4458
